0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 
1; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 23; 
1.057; 1.057; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 22.943; 22.943; 
1.11075; 1.11075; 2.00325; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 21.9968; 22.8892; 22.8892; 
1.16162; 1.16162; 2.00919; 3.00019; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 20.9998; 21.9908; 22.8384; 22.8384; 
1.20993; 1.20993; 2.01737; 3.00069; 4.00001; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 20.9993; 21.9826; 22.7901; 22.7901; 
1.25596; 1.25596; 2.02739; 3.0016; 4.00005; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 20.9984; 21.9726; 22.744; 22.744; 
1.29993; 1.29993; 2.03895; 3.00298; 4.00013; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 19.9999; 20.997; 21.961; 22.7001; 22.7001; 
1.34205; 1.34205; 2.05178; 3.00487; 4.00029; 5.00001; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 19.9997; 20.9951; 21.9482; 22.6579; 22.6579; 
1.38251; 1.38251; 2.06565; 3.00728; 4.00053; 5.00003; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 19.9995; 20.9927; 21.9344; 22.6175; 22.6175; 
1.42145; 1.42145; 2.08038; 3.01022; 4.00089; 5.00005; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 18.9999; 19.9991; 20.9898; 21.9196; 22.5786; 22.5786; 
1.45901; 1.45901; 2.09582; 3.01369; 4.00137; 5.0001; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 18.9999; 19.9986; 20.9863; 21.9042; 22.541; 22.541; 
1.49531; 1.49531; 2.11184; 3.01767; 4.002; 5.00017; 6.00001; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 18.9998; 19.998; 20.9823; 21.8882; 22.5047; 22.5047; 
1.53045; 1.53045; 2.12833; 3.02215; 4.00279; 5.00026; 6.00002; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 18.9997; 19.9972; 20.9779; 21.8717; 22.4696; 22.4696; 
1.56453; 1.56453; 2.1452; 3.0271; 4.00375; 5.00039; 6.00003; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 18.9996; 19.9962; 20.9729; 21.8548; 22.4355; 22.4355; 
1.59763; 1.59763; 2.16237; 3.0325; 4.00489; 5.00056; 6.00005; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9999; 18.9994; 19.9951; 20.9675; 21.8376; 22.4024; 22.4024; 
1.62982; 1.62982; 2.17978; 3.03833; 4.00622; 5.00078; 6.00008; 7.00001; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9999; 18.9992; 19.9938; 20.9617; 21.8202; 22.3702; 22.3702; 
1.66116; 1.66116; 2.19737; 3.04456; 4.00774; 5.00105; 6.00011; 7.00001; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9999; 18.9989; 19.9923; 20.9554; 21.8026; 22.3388; 22.3388; 
1.69173; 1.69173; 2.21509; 3.05117; 4.00945; 5.00138; 6.00016; 7.00002; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9998; 18.9986; 19.9905; 20.9488; 21.7849; 22.3083; 22.3083; 
1.72156; 1.72156; 2.23292; 3.05814; 4.01137; 5.00177; 6.00022; 7.00002; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9998; 18.9982; 19.9886; 20.9419; 21.7671; 22.2784; 22.2784; 
1.75071; 1.75071; 2.25081; 3.06543; 4.01349; 5.00223; 6.0003; 7.00003; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9997; 18.9978; 19.9865; 20.9346; 21.7492; 22.2493; 22.2493; 
1.77921; 1.77921; 2.26874; 3.07304; 4.01581; 5.00276; 6.00039; 7.00005; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 17.9996; 18.9972; 19.9842; 20.927; 21.7313; 22.2208; 22.2208; 
1.80712; 1.80712; 2.28668; 3.08093; 4.01833; 5.00337; 6.00051; 7.00006; 8.00001; 9; 10; 11; 12; 13; 14; 15; 16; 16.9999; 17.9995; 18.9966; 19.9817; 20.9191; 21.7133; 22.1929; 22.1929; 
1.83445; 1.83445; 2.30462; 3.08909; 4.02104; 5.00406; 6.00065; 7.00009; 8.00001; 9; 10; 11; 12; 13; 14; 15; 16; 16.9999; 17.9994; 18.9959; 19.979; 20.9109; 21.6954; 22.1655; 22.1655; 
1.86125; 1.86125; 2.32253; 3.0975; 4.02395; 5.00483; 6.00081; 7.00011; 8.00001; 9; 10; 11; 12; 13; 14; 15; 16; 16.9999; 17.9992; 18.9952; 19.976; 20.9025; 21.6775; 22.1388; 22.1388; 
1.88754; 1.88754; 2.34041; 3.10613; 4.02706; 5.00569; 6.001; 7.00015; 8.00002; 9; 10; 11; 12; 13; 14; 15; 16; 16.9999; 17.999; 18.9943; 19.9729; 20.8939; 21.6596; 22.1125; 22.1125; 
1.91336; 1.91336; 2.35824; 3.11498; 4.03035; 5.00664; 6.00122; 7.00019; 8.00002; 9; 10; 11; 12; 13; 14; 15; 16; 16.9998; 17.9988; 18.9934; 19.9697; 20.885; 21.6418; 22.0866; 22.0866; 
1.93872; 1.93872; 2.37602; 3.12402; 4.03382; 5.00768; 6.00147; 7.00024; 8.00003; 9; 10; 11; 12; 13; 14; 15; 16; 16.9998; 17.9985; 18.9923; 19.9662; 20.876; 21.624; 22.0613; 22.0613; 
1.96364; 1.96364; 2.39373; 3.13324; 4.03747; 5.00882; 6.00175; 7.0003; 8.00004; 9.00001; 10; 11; 12; 13; 14; 15; 16; 16.9997; 17.9982; 18.9912; 19.9625; 20.8668; 21.6063; 22.0364; 22.0364; 
1.98816; 1.98816; 2.41137; 3.14263; 4.0413; 5.01005; 6.00207; 7.00036; 8.00006; 9.00001; 10; 11; 12; 13; 14; 15; 15.9999; 16.9996; 17.9979; 18.9899; 19.9587; 20.8574; 21.5886; 22.0118; 22.0118; 
2.01228; 2.01228; 2.42893; 3.15217; 4.04529; 5.01138; 6.00243; 7.00044; 8.00007; 9.00001; 10; 11; 12; 13; 14; 15; 15.9999; 16.9996; 17.9976; 18.9886; 19.9547; 20.8478; 21.5711; 21.9877; 21.9877; 
2.03603; 2.03603; 2.4464; 3.16186; 4.04945; 5.0128; 6.00283; 7.00054; 8.00009; 9.00001; 10; 11; 12; 13; 14; 15; 15.9999; 16.9995; 17.9972; 18.9872; 19.9505; 20.8381; 21.5536; 21.964; 21.964; 
2.05942; 2.05942; 2.46379; 3.17167; 4.05377; 5.01432; 6.00326; 7.00064; 8.00011; 9.00002; 10; 11; 12; 13; 14; 15; 15.9999; 16.9994; 17.9967; 18.9857; 19.9462; 20.8283; 21.5362; 21.9406; 21.9406; 
2.08247; 2.08247; 2.48109; 3.1816; 4.05824; 5.01594; 6.00374; 7.00076; 8.00013; 9.00002; 10; 11; 12; 13; 14; 15; 15.9999; 16.9992; 17.9963; 18.9841; 19.9418; 20.8184; 21.5189; 21.9175; 21.9175; 
2.10519; 2.10519; 2.4983; 3.19164; 4.06286; 5.01765; 6.00427; 7.00089; 8.00016; 9.00003; 10; 11; 12; 13; 14; 15; 15.9998; 16.9991; 17.9957; 18.9823; 19.9371; 20.8084; 21.5017; 21.8948; 21.8948; 
2.1276; 2.1276; 2.51541; 3.20178; 4.06762; 5.01947; 6.00484; 7.00105; 8.0002; 9.00003; 10; 11; 12; 13; 14; 15; 15.9998; 16.999; 17.9952; 18.9805; 19.9324; 20.7982; 21.4846; 21.8724; 21.8724; 
2.1497; 2.1497; 2.53243; 3.21201; 4.07253; 5.02138; 6.00546; 7.00121; 8.00024; 9.00004; 10; 11; 12; 13; 14; 15; 15.9998; 16.9988; 17.9945; 18.9786; 19.9275; 20.788; 21.4676; 21.8503; 21.8503; 
2.17152; 2.17152; 2.54935; 3.22232; 4.07756; 5.02339; 6.00612; 7.0014; 8.00028; 9.00005; 10; 11; 12; 13; 14; 15; 15.9997; 16.9986; 17.9939; 18.9766; 19.9224; 20.7777; 21.4507; 21.8285; 21.8285; 
2.19305; 2.19305; 2.56617; 3.23271; 4.08272; 5.02549; 6.00684; 7.00161; 8.00033; 9.00006; 10; 11; 12; 13; 14; 14.9999; 15.9997; 16.9984; 17.9932; 18.9745; 19.9173; 20.7673; 21.4338; 21.8069; 21.8069; 
2.21432; 2.21432; 2.5829; 3.24317; 4.08801; 5.02769; 6.0076; 7.00183; 8.00039; 9.00007; 10; 11; 12; 13; 14; 14.9999; 15.9996; 16.9982; 17.9924; 18.9723; 19.912; 20.7568; 21.4171; 21.7857; 21.7857; 
2.23533; 2.23533; 2.59952; 3.25369; 4.09342; 5.02998; 6.00842; 7.00208; 8.00045; 9.00009; 10; 11; 12; 13; 14; 14.9999; 15.9995; 16.9979; 17.9916; 18.97; 19.9066; 20.7463; 21.4005; 21.7647; 21.7647; 
2.25609; 2.25609; 2.61605; 3.26427; 4.09894; 5.03237; 6.00929; 7.00235; 8.00052; 9.0001; 10; 11; 12; 13; 14; 14.9999; 15.9995; 16.9977; 17.9907; 18.9676; 19.9011; 20.7357; 21.3839; 21.7439; 21.7439; 
2.27661; 2.27661; 2.63248; 3.27489; 4.10457; 5.03485; 6.01021; 7.00264; 8.0006; 9.00012; 10; 11; 12; 13; 14; 14.9999; 15.9994; 16.9974; 17.9898; 18.9652; 19.8954; 20.7251; 21.3675; 21.7234; 21.7234; 
2.29689; 2.29689; 2.64882; 3.28557; 4.1103; 5.03742; 6.01118; 7.00295; 8.00069; 9.00014; 10; 11; 12; 13; 14; 14.9999; 15.9993; 16.997; 17.9888; 18.9626; 19.8897; 20.7144; 21.3512; 21.7031; 21.7031; 
2.31695; 2.31695; 2.66505; 3.29628; 4.11614; 5.04008; 6.01221; 7.00329; 8.00079; 9.00017; 10; 11; 12; 13; 14; 14.9998; 15.9992; 16.9967; 17.9878; 18.9599; 19.8839; 20.7037; 21.3349; 21.683; 21.683; 
2.33679; 2.33679; 2.68119; 3.30703; 4.12207; 5.04282; 6.01329; 7.00366; 8.0009; 9.0002; 10; 11; 12; 13; 14; 14.9998; 15.9991; 16.9963; 17.9867; 18.9572; 19.8779; 20.693; 21.3188; 21.6632; 21.6632; 
2.35642; 2.35642; 2.69723; 3.31782; 4.1281; 5.04566; 6.01442; 7.00405; 8.00102; 9.00023; 10; 11; 12; 13; 14; 14.9998; 15.999; 16.9959; 17.9856; 18.9543; 19.8719; 20.6822; 21.3028; 21.6436; 21.6436; 
2.37585; 2.37585; 2.71318; 3.32863; 4.13421; 5.04858; 6.01561; 7.00447; 8.00114; 9.00026; 10.0001; 11; 12; 13; 13.9999; 14.9997; 15.9989; 16.9955; 17.9844; 18.9514; 19.8658; 20.6714; 21.2868; 21.6241; 21.6241; 
2.39508; 2.39508; 2.72903; 3.33947; 4.14041; 5.05158; 6.01686; 7.00491; 8.00128; 9.0003; 10.0001; 11; 12; 13; 13.9999; 14.9997; 15.9987; 16.9951; 17.9831; 18.9484; 19.8596; 20.6605; 21.271; 21.6049; 21.6049; 
2.41411; 2.41411; 2.74479; 3.35033; 4.14669; 5.05466; 6.01815; 7.00539; 8.00143; 9.00034; 10.0001; 11; 12; 13; 13.9999; 14.9997; 15.9986; 16.9946; 17.9818; 18.9453; 19.8533; 20.6497; 21.2552; 21.5859; 21.5859; 
2.43296; 2.43296; 2.76046; 3.3612; 4.15306; 5.05783; 6.01951; 7.00589; 8.0016; 9.00039; 10.0001; 11; 12; 13; 13.9999; 14.9996; 15.9984; 16.9941; 17.9805; 18.9422; 19.8469; 20.6388; 21.2395; 21.567; 21.567; 
2.45163; 2.45163; 2.77603; 3.3721; 4.15949; 5.06107; 6.02092; 7.00642; 8.00177; 9.00044; 10.0001; 11; 12; 13; 13.9999; 14.9996; 15.9982; 16.9936; 17.9791; 18.9389; 19.8405; 20.6279; 21.224; 21.5484; 21.5484; 
2.47012; 2.47012; 2.79152; 3.383; 4.166; 5.06439; 6.02238; 7.00698; 8.00196; 9.0005; 10.0001; 11; 12; 13; 13.9999; 14.9995; 15.998; 16.993; 17.9776; 18.9356; 19.834; 20.617; 21.2085; 21.5299; 21.5299; 
2.48844; 2.48844; 2.80691; 3.39392; 4.17258; 5.06779; 6.0239; 7.00757; 8.00216; 9.00056; 10.0001; 11; 12; 13; 13.9999; 14.9994; 15.9978; 16.9924; 17.9761; 18.9322; 19.8274; 20.6061; 21.1931; 21.5116; 21.5116; 
2.50659; 2.50659; 2.82222; 3.40484; 4.17922; 5.07126; 6.02547; 7.0082; 8.00238; 9.00063; 10.0001; 11; 12; 13; 13.9999; 14.9994; 15.9976; 16.9918; 17.9745; 18.9287; 19.8208; 20.5952; 21.1778; 21.4934; 21.4934; 
2.52458; 2.52458; 2.83744; 3.41577; 4.18593; 5.0748; 6.02709; 7.00885; 8.00261; 9.0007; 10.0002; 11; 12; 13; 13.9998; 14.9993; 15.9974; 16.9912; 17.9729; 18.9252; 19.8141; 20.5842; 21.1626; 21.4754; 21.4754; 
2.54242; 2.54242; 2.85257; 3.42671; 4.1927; 5.07842; 6.02877; 7.00953; 8.00286; 9.00078; 10.0002; 11; 12; 13; 13.9998; 14.9992; 15.9971; 16.9905; 17.9712; 18.9216; 19.8073; 20.5733; 21.1474; 21.4576; 21.4576; 
2.5601; 2.5601; 2.86762; 3.43764; 4.19952; 5.0821; 6.03051; 7.01025; 8.00312; 9.00086; 10.0002; 11; 12; 13; 13.9998; 14.9991; 15.9969; 16.9898; 17.9695; 18.9179; 19.8005; 20.5624; 21.1324; 21.4399; 21.4399; 
2.57762; 2.57762; 2.88258; 3.44858; 4.2064; 5.08585; 6.03229; 7.011; 8.0034; 9.00096; 10.0002; 11.0001; 12; 12.9999; 13.9998; 14.999; 15.9966; 16.989; 17.9677; 18.9141; 19.7936; 20.5514; 21.1174; 21.4224; 21.4224; 
2.59501; 2.59501; 2.89746; 3.45951; 4.21333; 5.08967; 6.03413; 7.01178; 8.00369; 9.00105; 10.0003; 11.0001; 12; 12.9999; 13.9997; 14.9989; 15.9963; 16.9882; 17.9659; 18.9103; 19.7867; 20.5405; 21.1025; 21.405; 21.405; 
2.61225; 2.61225; 2.91226; 3.47044; 4.22032; 5.09355; 6.03602; 7.01259; 8.004; 9.00116; 10.0003; 11.0001; 12; 12.9999; 13.9997; 14.9988; 15.996; 16.9874; 17.964; 18.9064; 19.7797; 20.5296; 21.0877; 21.3878; 21.3878; 
2.62935; 2.62935; 2.92697; 3.48137; 4.22735; 5.0975; 6.03797; 7.01344; 8.00433; 9.00127; 10.0003; 11.0001; 12; 12.9999; 13.9997; 14.9987; 15.9957; 16.9866; 17.962; 18.9025; 19.7727; 20.5186; 21.073; 21.3707; 21.3707; 
2.64631; 2.64631; 2.94161; 3.49229; 4.23443; 5.10151; 6.03996; 7.01432; 8.00468; 9.00139; 10.0004; 11.0001; 12; 12.9999; 13.9996; 14.9986; 15.9953; 16.9857; 17.96; 18.8985; 19.7656; 20.5077; 21.0584; 21.3537; 21.3537; 
2.66314; 2.66314; 2.95617; 3.5032; 4.24155; 5.10558; 6.04201; 7.01523; 8.00504; 9.00152; 10.0004; 11.0001; 12; 12.9999; 13.9996; 14.9985; 15.995; 16.9848; 17.958; 18.8944; 19.7585; 20.4968; 21.0438; 21.3369; 21.3369; 
2.67985; 2.67985; 2.97064; 3.51411; 4.24871; 5.1097; 6.04411; 7.01617; 8.00542; 9.00166; 10.0005; 11.0001; 12; 12.9999; 13.9995; 14.9983; 15.9946; 16.9838; 17.9559; 18.8903; 19.7513; 20.4859; 21.0294; 21.3202; 21.3202; 
2.69642; 2.69642; 2.98505; 3.525; 4.25592; 5.11389; 6.04625; 7.01715; 8.00582; 9.00181; 10.0005; 11.0001; 12; 12.9999; 13.9995; 14.9982; 15.9942; 16.9828; 17.9537; 18.8861; 19.7441; 20.475; 21.015; 21.3036; 21.3036; 
