Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nt = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
0(0);30;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0; 
1(0,01);29;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1; 
2(0,02);28,9;28,9;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1,1;1,1; 
3(0,03);28,81;28,81;27,99;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2,01;1,19;1,19; 
4(0,04);28,728;28,728;27,973;26,999;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3,001;2,027;1,272;1,272; 
5(0,05);28,6525;28,6525;27,9511;26,9965;25,9999;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4,0001;3,0035;2,0489;1,3475;1,3475; 
6(0,06);28,5824;28,5824;27,9258;26,9923;25,9996;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5,00001;4,00043;3,0077;2,07422;1,41764;1,41764; 
7(0,07);28,5167;28,5167;27,8981;26,9864;25,9989;24,9999;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5,00005;4,00111;3,01362;2,10191;1,4833;1,4833; 
8(0,08);28,4548;28,4548;27,8688;26,9788;25,9977;24,9998;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6,00001;5,00015;4,00226;3,0212;2,13122;1,54516;1,54516; 
9(0,09);28,3962;28,3962;27,8384;26,9697;25,9961;24,9997;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6,00002;5,00035;4,00394;3,03031;2,16161;1,60377;1,60377; 
10(0,1);28,3404;28,3404;27,8073;26,9592;25,9938;24,9993;23,9999;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6,00005;5,00068;4,00622;3,0408;2,1927;1,65955;1,65955; 
11(0,11);28,2871;28,2871;27,7758;26,9475;25,9909;24,9988;23,9999;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7,00001;6,00011;5,00117;4,00912;3,05253;2,22419;1,71286;1,71286; 
12(0,12);28,236;28,236;27,7441;26,9346;25,9873;24,9981;23,9998;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7,00002;6,0002;5,00186;4,01267;3,06536;2,25589;1,764;1,764; 
13(0,13);28,1868;28,1868;27,7123;26,9209;25,9831;24,9972;23,9996;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7,00003;6,00035;5,00277;4,01686;3,07914;2,28765;1,81319;1,81319; 
14(0,14);28,1394;28,1394;27,6806;26,9062;25,9783;24,9961;23,9994;22,9999;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8,00001;7,00006;6,00056;5,00394;4,02168;3,09377;2,31935;1,86063;1,86063; 
15(0,15);28,0935;28,0935;27,6491;26,8909;25,9729;24,9946;23,9992;22,9999;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8,00001;7,00011;6,00085;5,00538;4,02711;3,10912;2,35092;1,90651;1,90651; 
16(0,16);28,0491;28,0491;27,6177;26,8749;25,9669;24,9929;23,9988;22,9998;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8,00002;7,00017;6,00123;5,0071;4,03314;3,1251;2,3823;1,95095;1,95095; 
17(0,17);28,0059;28,0059;27,5866;26,8584;25,9603;24,9909;23,9983;22,9997;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8,00003;7,00026;6,00171;5,00911;4,03973;3,14162;2,41345;1,99408;1,99408; 
