Nx = 7;;;;;;;;
Nt = 30;;;;;;;;
n/j;0,00;5,00;10,00;15,00;20,00;25,00;30,00; 
0(0);30,00;25,00;20,00;15,00;10,00;5,00;0,00; 
1(0,1);25,00;25,00;20,00;15,00;10,00;5,00;5,00; 
2(0,2);24,80;24,80;20,00;15,00;10,00;5,20;5,20; 
3(0,3);24,61;24,61;19,99;15,00;10,01;5,39;5,39; 
4(0,4);24,42;24,42;19,98;15,00;10,02;5,58;5,58; 
5(0,5);24,25;24,25;19,96;15,00;10,04;5,75;5,75; 
6(0,6);24,07;24,07;19,93;15,00;10,07;5,93;5,93; 
7(0,7);23,91;23,91;19,90;15,00;10,10;6,09;6,09; 
8(0,8);23,75;23,75;19,86;15,00;10,14;6,25;6,25; 
9(0,9);23,59;23,59;19,82;15,00;10,18;6,41;6,41; 
10(1);23,44;23,44;19,78;15,00;10,22;6,56;6,56; 
11(1,1);23,30;23,30;19,74;15,00;10,26;6,70;6,70; 
12(1,2);23,15;23,15;19,69;15,00;10,31;6,85;6,85; 
13(1,3);23,01;23,01;19,64;15,00;10,36;6,99;6,99; 
14(1,4);22,88;22,88;19,59;15,00;10,41;7,12;7,12; 
15(1,5);22,75;22,75;19,54;15,00;10,46;7,25;7,25; 
16(1,6);22,62;22,62;19,48;15,00;10,52;7,38;7,38; 
17(1,7);22,49;22,49;19,43;15,00;10,57;7,51;7,51; 
18(1,8);22,37;22,37;19,38;15,00;10,62;7,63;7,63; 
19(1,9);22,25;22,25;19,32;15,00;10,68;7,75;7,75; 
20(2);22,13;22,13;19,26;15,00;10,74;7,87;7,87; 
21(2,1);22,02;22,02;19,21;15,00;10,79;7,98;7,98; 
22(2,2);21,91;21,91;19,15;15,00;10,85;8,09;8,09; 
23(2,3);21,80;21,80;19,10;15,00;10,90;8,20;8,20; 
24(2,4);21,69;21,69;19,04;15,00;10,96;8,31;8,31; 
25(2,5);21,58;21,58;18,99;15,00;11,01;8,42;8,42; 
26(2,6);21,48;21,48;18,93;15,00;11,07;8,52;8,52; 
27(2,7);21,38;21,38;18,87;15,00;11,13;8,62;8,62; 
28(2,8);21,28;21,28;18,82;15,00;11,18;8,72;8,72; 
29(2,9);21,18;21,18;18,77;15,00;11,23;8,82;8,82; 
30(3);21,08;21,08;18,71;15,00;11,29;8,92;8,92; 
