Nx = 31
Nt = 3000
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
0(0); 30; 29; 28; 27; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3; 2; 1; 0; 
1(0.05); 29; 29; 28; 27; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3; 2; 1; 1; 
2(0.1); 28.5; 28.5; 28; 27; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3; 2; 1.5; 1.5; 
3(0.15); 28.25; 28.25; 27.75; 27; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3; 2.25; 1.75; 1.75; 
4(0.2); 28; 28; 27.625; 26.875; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3.125; 2.375; 2; 2; 
5(0.25); 27.8125; 27.8125; 27.4375; 26.8125; 25.9375; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4.0625; 3.1875; 2.5625; 2.1875; 2.1875; 
6(0.3); 27.625; 27.625; 27.3125; 26.6875; 25.9063; 24.9688; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5.03125; 4.09375; 3.3125; 2.6875; 2.375; 2.375; 
7(0.35); 27.4688; 27.4688; 27.1563; 26.6094; 25.8281; 24.9531; 23.9844; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6.01563; 5.04688; 4.17188; 3.39063; 2.84375; 2.53125; 2.53125; 
8(0.4); 27.3125; 27.3125; 27.0391; 26.4922; 25.7813; 24.9063; 23.9766; 22.9922; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7.00781; 6.02344; 5.09375; 4.21875; 3.50781; 2.96094; 2.6875; 2.6875; 
9(0.45); 27.1758; 27.1758; 26.9023; 26.4102; 25.6992; 24.8789; 23.9492; 22.9883; 21.9961; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8.00391; 7.01172; 6.05078; 5.12109; 4.30078; 3.58984; 3.09766; 2.82422; 2.82422; 
10(0.5); 27.0391; 27.0391; 26.793; 26.3008; 25.6445; 24.8242; 23.9336; 22.9727; 21.9941; 20.998; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9.00195; 8.00586; 7.02734; 6.06641; 5.17578; 4.35547; 3.69922; 3.20703; 2.96094; 2.96094; 
11(0.55); 26.916; 26.916; 26.6699; 26.2188; 25.5625; 24.7891; 23.8984; 22.9639; 21.9854; 20.9971; 19.999; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10.001; 9.00293; 8.01465; 7.03613; 6.10156; 5.21094; 4.4375; 3.78125; 3.33008; 3.08398; 3.08398; 
12(0.6); 26.793; 26.793; 26.5674; 26.1162; 25.5039; 24.7305; 23.8765; 22.9419; 21.9805; 20.9922; 19.9985; 18.9995; 18; 17; 16; 15; 14; 13; 12; 11.0005; 10.0015; 9.00781; 8.01953; 7.05811; 6.12354; 5.26953; 4.49609; 3.88379; 3.43262; 3.20703; 3.20703; 
13(0.65); 26.6802; 26.6802; 26.4546; 26.0356; 25.4233; 24.6902; 23.8362; 22.9285; 21.967; 20.9895; 19.9958; 18.9993; 17.9998; 17; 16; 15; 14; 13; 12.0002; 11.0007; 10.0042; 9.0105; 8.03296; 7.07153; 6.16382; 5.30981; 4.57666; 3.96436; 3.54541; 3.31982; 3.31982; 
14(0.7); 26.5674; 26.5674; 26.3579; 25.939; 25.3629; 24.6298; 23.8093; 22.9016; 21.959; 20.9814; 19.9944; 18.9978; 17.9996; 16.9999; 16; 15; 14; 13.0001; 12.0004; 11.0022; 10.0056; 9.01855; 8.04102; 7.09839; 6.19067; 5.37024; 4.63708; 4.06104; 3.64209; 3.43262; 3.43262; 
15(0.75); 26.4626; 26.4626; 26.2532; 25.8604; 25.2844; 24.5861; 23.7657; 22.8842; 21.9415; 20.9767; 19.9896; 18.997; 17.9988; 16.9998; 15.9999; 15; 14.0001; 13.0002; 12.0012; 11.003; 10.0104; 9.02332; 8.05847; 7.11584; 6.23431; 5.41388; 4.71564; 4.13959; 3.74683; 3.53735; 3.53735; 
16(0.8); 26.3579; 26.3579; 26.1615; 25.7688; 25.2233; 24.525; 23.7351; 22.8536; 21.9304; 20.9656; 19.9868; 18.9942; 17.9984; 16.9994; 15.9999; 15; 14.0001; 13.0006; 12.0016; 11.0058; 10.0132; 9.03442; 8.06958; 7.14639; 6.26486; 5.47498; 4.77673; 4.23123; 3.83847; 3.64209; 3.64209; 
17(0.85); 26.2597; 26.2597; 26.0633; 25.6924; 25.1469; 24.4792; 23.6893; 22.8328; 21.9096; 20.9586; 19.9799; 18.9926; 17.9968; 16.9992; 15.9997; 15; 14.0003; 13.0008; 12.0032; 11.0074; 10.0201; 9.04137; 8.09041; 7.16722; 6.31068; 5.5208; 4.8531; 4.3076; 3.93666; 3.74028; 3.74028; 
18(0.9); 26.1615; 26.1615; 25.9761; 25.6051; 25.0858; 24.4181; 23.656; 22.7995; 21.8957; 20.9447; 19.9756; 18.9884; 17.9959; 16.9983; 15.9996; 15; 14.0004; 13.0017; 12.0041; 11.0116; 10.0244; 9.05525; 8.10429; 7.20055; 6.34401; 5.58189; 4.9142; 4.39488; 4.02394; 3.83847; 3.83847; 
19(0.95); 26.0688; 26.0688; 25.8833; 25.5309; 25.0116; 24.3709; 23.6088; 22.7758; 21.8721; 20.9357; 19.9666; 18.9858; 17.9933; 16.9977; 15.9991; 15; 14.0009; 13.0023; 12.0067; 11.0142; 10.0334; 9.06433; 8.1279; 7.22415; 6.39122; 5.6291; 4.98839; 4.46907; 4.11668; 3.93121; 3.93121; 
20(1); 25.9761; 25.9761; 25.7999; 25.4475; 24.9509; 24.3102; 23.5734; 22.7404; 21.8558; 20.9193; 19.9607; 18.9799; 17.9918; 16.9962; 15.9989; 15; 14.0011; 13.0038; 12.0082; 11.0201; 10.0393; 9.08067; 8.14424; 7.25956; 6.42663; 5.6898; 5.04909; 4.55253; 4.20014; 4.02394; 4.02394; 
21(1.05); 25.888; 25.888; 25.7118; 25.3754; 24.8788; 24.2621; 23.5253; 22.7146; 21.8299; 20.9082; 19.9496; 18.9762; 17.9881; 16.9953; 15.9981; 15; 14.0019; 13.0047; 12.0119; 11.0238; 10.0504; 9.09176; 8.17012; 7.28543; 6.47468; 5.73786; 5.12117; 4.62461; 4.28824; 4.11204; 4.11204; 
22(1.1); 25.7999; 25.7999; 25.6317; 25.2953; 24.8188; 24.2021; 23.4884; 22.6776; 21.8114; 20.8898; 19.9422; 18.9689; 17.9858; 16.9931; 15.9977; 15; 14.0023; 13.0069; 12.0142; 11.0311; 10.0578; 9.11024; 8.1886; 7.3224; 6.51165; 5.79792; 5.18124; 4.7047; 4.36833; 4.20014; 4.20014; 
23(1.15); 25.7158; 25.7158; 25.5476; 25.2252; 24.7487; 24.1536; 23.4398; 22.6499; 21.7837; 20.8768; 19.9293; 18.964; 17.981; 16.9917; 15.9965; 15; 14.0035; 13.0083; 12.019; 11.036; 10.0707; 9.12318; 8.21632; 7.35012; 6.56016; 5.84644; 5.25131; 4.77478; 4.45242; 4.28423; 4.28423; 
24(1.2); 25.6317; 25.6317; 25.4705; 25.1481; 24.6894; 24.0943; 23.4017; 22.6118; 21.7633; 20.8565; 19.9204; 18.9551; 17.9779; 16.9888; 15.9959; 15; 14.0041; 13.0112; 12.0221; 11.0449; 10.0796; 9.14351; 8.23665; 7.38824; 6.59828; 5.90574; 5.31061; 4.85187; 4.52951; 4.36833; 4.36833; 
25(1.25); 25.5511; 25.5511; 25.3899; 25.0799; 24.6212; 24.0456; 23.353; 22.5825; 21.7341; 20.8419; 19.9058; 18.9491; 17.9719; 16.9869; 15.9944; 15; 14.0056; 13.0131; 12.0281; 11.0509; 10.0942; 9.15812; 8.26588; 7.41747; 6.64699; 5.95445; 5.3788; 4.92006; 4.6101; 4.44892; 4.44892; 
26(1.3); 25.4705; 25.4705; 25.3155; 25.0056; 24.5627; 23.9871; 23.314; 22.5436; 21.7122; 20.82; 19.8955; 18.9389; 17.968; 16.9832; 15.9934; 15; 14.0066; 13.0168; 12.032; 11.0611; 10.1045; 9.18003; 8.28779; 7.45643; 6.68596; 6.0129; 5.43725; 4.99445; 4.68449; 4.52951; 4.52951; 
27(1.35); 25.393; 25.393; 25.238; 24.9391; 24.4963; 23.9384; 23.2653; 22.5131; 21.6818; 20.8039; 19.8794; 18.9318; 17.961; 16.9807; 15.9916; 15; 14.0084; 13.0193; 12.039; 11.0682; 10.1206; 9.19614; 8.31823; 7.48688; 6.73466; 6.0616; 5.50367; 5.06087; 4.76198; 4.607; 4.607; 
