0; 0.5; 1; 1.5; 2; 2.5; 3; 3.5; 4; 4.5; 5; 5.5; 6; 6.5; 7; 7.5; 8; 8.5; 9; 9.5; 10; 10.5; 11; 11.5; 12; 12.5; 13; 13.5; 14; 14.5; 15; 15.5; 16; 16.5; 17; 17.5; 18; 18.5; 19; 19.5; 20; 20.5; 21; 21.5; 22; 22.5; 23; 23.5; 24; 
1.34659; 1.34659; 1.53224; 1.83461; 2.21037; 2.63226; 3.08315; 3.55227; 4.03286; 4.52066; 5.01299; 5.50817; 6.00513; 6.50323; 7.00203; 7.50128; 8.0008; 8.5005; 9.00032; 9.5002; 10.0001; 10.5001; 11; 11.5; 12; 12.5; 13; 13.4999; 13.9999; 14.4998; 14.9997; 15.4995; 15.9992; 16.4987; 16.998; 17.4968; 17.9949; 18.4918; 18.987; 19.4793; 19.9671; 20.4477; 20.9169; 21.3677; 21.7896; 22.1654; 22.4678; 22.6534; 22.6534; 
1.86638; 1.86638; 1.98037; 2.19264; 2.48341; 2.83407; 3.22898; 3.65588; 4.10549; 4.57103; 5.04762; 5.5318; 6.02116; 6.51404; 7.00929; 7.50613; 8.00403; 8.50265; 9.00173; 9.50112; 10.0007; 10.5004; 11.0003; 11.5001; 12; 12.4999; 12.9997; 13.4996; 13.9993; 14.4989; 14.9983; 15.4974; 15.996; 16.4939; 16.9907; 17.486; 17.9788; 18.4682; 18.9524; 19.429; 19.8945; 20.3441; 20.771; 21.1659; 21.5166; 21.8074; 22.0196; 22.1336; 22.1336; 
2.26298; 2.26298; 2.34996; 2.51798; 2.75735; 3.05679; 3.40508; 3.79198; 4.20873; 4.64812; 5.10442; 5.57317; 6.051; 6.53537; 7.02442; 7.51679; 8.01149; 8.50783; 9.0053; 9.50356; 10.0024; 10.5015; 11.0009; 11.5004; 12; 12.4996; 12.9991; 13.4985; 13.9976; 14.4964; 14.9947; 15.4922; 15.9885; 16.4832; 16.9756; 17.4646; 17.949; 18.4268; 18.8956; 19.3519; 19.7913; 20.208; 20.5949; 20.9432; 21.2427; 21.482; 21.65; 21.737; 21.737; 
2.59478; 2.59478; 2.66755; 2.80996; 3.0164; 3.27965; 3.59177; 3.94483; 4.33142; 4.74491; 5.17962; 5.63083; 6.09468; 6.56812; 7.04873; 7.53467; 8.02454; 8.51726; 9.01206; 9.50833; 10.0057; 10.5037; 11.0022; 11.501; 12; 12.499; 12.9978; 13.4963; 13.9943; 14.4917; 14.9879; 15.4827; 15.9755; 16.4653; 16.9513; 17.4319; 17.9053; 18.3692; 18.8204; 19.2551; 19.6686; 20.0552; 20.4082; 20.7204; 20.9836; 21.19; 21.3325; 21.4052; 21.4052; 
2.88558; 2.88558; 2.94935; 3.07492; 3.2586; 3.49539; 3.7795; 4.10477; 4.46511; 4.85477; 5.26853; 5.70178; 6.1506; 6.61167; 7.08229; 7.56028; 8.04388; 8.53173; 9.02274; 9.51611; 10.0112; 10.5074; 11.0045; 11.5022; 12; 12.4978; 12.9955; 13.4926; 13.9888; 14.4839; 14.9773; 15.4683; 15.9561; 16.4397; 16.9177; 17.3883; 17.8494; 18.2982; 18.7315; 19.1452; 19.5349; 19.8952; 20.2205; 20.5046; 20.7414; 20.9251; 21.0506; 21.1144; 21.1144; 
3.14753; 3.14753; 3.20497; 3.31848; 3.48539; 3.70204; 3.96401; 4.26644; 4.60432; 4.97273; 5.36701; 5.78288; 6.21654; 6.66467; 7.12441; 7.5934; 8.06964; 8.55154; 9.03777; 9.52731; 10.0193; 10.5131; 11.0081; 11.5038; 12; 12.4962; 12.9919; 13.4869; 13.9807; 14.4727; 14.9622; 15.4485; 15.9304; 16.4066; 16.8756; 17.3353; 17.7835; 18.2171; 18.633; 19.0273; 19.3957; 19.7336; 20.036; 20.298; 20.5146; 20.6815; 20.795; 20.8525; 20.8525; 
3.38778; 3.38778; 3.44047; 3.5448; 3.69876; 3.89952; 4.14358; 4.42702; 4.74568; 5.09533; 5.47188; 5.87142; 6.29037; 6.72552; 7.174; 7.63337; 8.1015; 8.57661; 9.05722; 9.5421; 10.0302; 10.5207; 11.0129; 11.5062; 12; 12.4938; 12.9871; 13.4793; 13.9698; 14.4579; 14.9428; 15.4234; 15.8985; 16.3666; 16.826; 17.2745; 17.7096; 18.1286; 18.5281; 18.9047; 19.2543; 19.573; 19.8564; 20.1005; 20.3012; 20.4552; 20.5595; 20.6122; 20.6122; 
3.61096; 3.61096; 3.6599; 3.75696; 3.90055; 4.08839; 4.31764; 4.58507; 4.88716; 5.22028; 5.5808; 5.96521; 6.37019; 6.79267; 7.22987; 7.67933; 8.13887; 8.60661; 9.08092; 9.56043; 10.044; 10.5305; 11.0192; 11.5093; 12; 12.4907; 12.9808; 13.4695; 13.956; 14.4396; 14.9191; 15.3934; 15.8611; 16.3207; 16.7701; 17.2073; 17.6298; 18.0348; 18.4192; 18.7797; 19.1128; 19.4149; 19.6824; 19.9116; 20.0995; 20.243; 20.3401; 20.389; 20.389; 
3.82023; 3.82023; 3.86613; 3.95725; 4.09229; 4.26938; 4.48616; 4.73989; 5.02758; 5.34606; 5.69213; 6.06261; 6.45444; 6.86476; 7.29088; 7.73038; 8.18108; 8.64103; 9.10854; 9.5821; 10.0604; 10.5423; 11.0268; 11.513; 12; 12.487; 12.9732; 13.4577; 13.9396; 14.4179; 14.8915; 15.359; 15.8189; 16.2696; 16.7091; 17.1352; 17.5456; 17.9374; 18.3079; 18.6539; 18.9724; 19.2601; 19.5138; 19.7306; 19.9077; 20.0428; 20.1339; 20.1798; 20.1798; 
4.01791; 4.01791; 4.06126; 4.1474; 4.27525; 4.44322; 4.64931; 4.89118; 5.16622; 5.47167; 5.80467; 6.16235; 6.5419; 6.94063; 7.35599; 7.78564; 8.2274; 8.67932; 9.13964; 9.60678; 10.0793; 10.556; 11.0357; 11.5174; 12; 12.4826; 12.9643; 13.444; 13.9207; 14.3932; 14.8604; 15.3207; 15.7726; 16.2144; 16.644; 17.0594; 17.4581; 17.8377; 18.1953; 18.5283; 18.8338; 19.1088; 19.3507; 19.5568; 19.7248; 19.8526; 19.9387; 19.9821; 19.9821; 
4.20572; 4.20572; 4.2469; 4.3288; 4.45047; 4.61057; 4.80737; 5.03884; 5.30268; 5.59646; 5.91759; 6.26349; 6.63157; 7.01931; 7.42431; 7.84429; 8.27714; 8.72089; 9.17376; 9.63411; 10.1005; 10.5714; 11.0458; 11.5223; 12; 12.4777; 12.9542; 13.4286; 13.8995; 14.3659; 14.8262; 15.2791; 15.7229; 16.1557; 16.5757; 16.9807; 17.3684; 17.7365; 18.0824; 18.4035; 18.6973; 18.9612; 19.1926; 19.3894; 19.5495; 19.6712; 19.7531; 19.7943; 19.7943; 
