Nx = 31
Nt = 750
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
0(0); 30; 29; 28; 27; 26; 25; 24; 23; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8; 7; 6; 5; 4; 3; 2; 1; 0; 
1(0.04); 28.6938; 28.6938; 27.9282; 26.9832; 25.9961; 24.9991; 23.9998; 22.9999; 22; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9; 8.00001; 7.00005; 6.00022; 5.00092; 4.00395; 3.01683; 2.07179; 1.30623; 1.30623; 
2(0.08); 28.4457; 28.4457; 27.8255; 26.9487; 25.9855; 24.996; 23.9989; 22.9997; 21.9999; 21; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9.00002; 8.00007; 7.00028; 6.00106; 5.00397; 4.01448; 3.05134; 2.17447; 1.5543; 1.5543; 
3(0.12); 28.2358; 28.2358; 27.711; 26.9; 25.9675; 24.9899; 23.997; 22.9991; 21.9997; 20.9999; 20; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10; 9.00007; 8.00025; 7.00089; 6.00303; 5.0101; 4.0325; 3.09996; 2.28896; 1.7642; 1.7642; 
4(0.16); 28.0523; 28.0523; 27.5936; 26.8413; 25.9423; 24.9801; 23.9934; 22.9979; 21.9993; 20.9998; 19.9999; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10.0001; 9.0002; 8.00065; 7.0021; 6.00657; 5.0199; 4.05774; 3.15867; 2.40639; 1.94768; 1.94768; 
5(0.2); 27.888; 27.888; 27.4773; 26.7758; 25.9106; 24.9664; 23.988; 22.9959; 21.9986; 20.9996; 19.9999; 19; 18; 17; 16; 15; 14; 13; 12; 11; 10.0001; 9.00045; 8.00138; 7.00415; 6.01204; 5.03359; 4.08936; 3.22416; 2.52269; 2.11197; 2.11197; 
6(0.24); 27.7383; 27.7383; 27.3639; 26.706; 25.8737; 24.9489; 23.9803; 22.9928; 21.9974; 20.9991; 19.9997; 18.9999; 18; 17; 16; 15; 14; 13; 12; 11.0001; 10.0003; 9.00089; 8.00258; 7.00724; 6.01965; 5.0511; 4.12632; 3.29396; 2.63609; 2.26172; 2.26172; 
7(0.28); 27.5999; 27.5999; 27.2541; 26.6337; 25.8324; 24.9278; 23.9705; 22.9884; 21.9956; 20.9984; 19.9994; 18.9998; 17.9999; 17; 16; 15; 14; 13; 12.0001; 11.0002; 10.0006; 9.00158; 8.00435; 7.01155; 6.02953; 5.0722; 4.16763; 3.36632; 2.74591; 2.40006; 2.40006; 
8(0.32); 27.4708; 27.4708; 27.148; 26.56; 25.7876; 24.9034; 23.9583; 22.9828; 21.9932; 20.9974; 19.999; 18.9996; 17.9999; 17; 16; 15; 14; 13; 12.0001; 11.0004; 10.001; 9.00261; 8.00682; 7.0172; 6.04169; 5.09657; 4.21237; 3.44004; 2.852; 2.52919; 2.52919; 
9(0.36); 27.3493; 27.3493; 27.0456; 26.4857; 25.7402; 24.8762; 23.9439; 22.9757; 21.9899; 20.996; 19.9984; 18.9994; 17.9998; 16.9999; 16; 15; 14; 13.0001; 12.0002; 11.0006; 10.0016; 9.00404; 8.01008; 7.02425; 6.05607; 5.12384; 4.25979; 3.5143; 2.95444; 2.65069; 2.65069; 
10(0.4); 27.2342; 27.2342; 26.9466; 26.4115; 25.6907; 24.8463; 23.9274; 22.9672; 21.9858; 20.9941; 19.9976; 18.9991; 17.9996; 16.9999; 16; 15; 14; 13.0001; 12.0004; 11.0009; 10.0024; 9.00593; 8.01419; 7.03276; 6.07258; 5.15365; 4.30926; 3.58854; 3.05342; 2.76576; 2.76576; 
11(0.44); 27.1247; 27.1247; 26.8508; 26.3376; 25.6397; 24.8143; 23.9089; 22.9573; 21.9808; 20.9917; 19.9965; 18.9986; 17.9994; 16.9998; 15.9999; 15; 14.0001; 13.0002; 12.0006; 11.0014; 10.0035; 9.00835; 8.01923; 7.04271; 6.09107; 5.18566; 4.36027; 3.6624; 3.14917; 2.8753; 2.8753; 
12(0.48); 27.02; 27.02; 26.7581; 26.2644; 25.5876; 24.7805; 23.8886; 22.9459; 21.9748; 20.9887; 19.9951; 18.9979; 17.9992; 16.9997; 15.9999; 15; 14.0001; 13.0003; 12.0008; 11.0021; 10.0049; 9.01134; 8.02522; 7.05409; 6.1114; 5.21955; 4.41241; 3.73562; 3.24191; 2.98005; 2.98005; 
13(0.52); 26.9194; 26.9194; 26.6681; 26.1919; 25.5346; 24.745; 23.8666; 22.9331; 21.9678; 20.9851; 19.9933; 18.9971; 17.9988; 16.9995; 15.9998; 15; 14.0002; 13.0005; 12.0012; 11.0029; 10.0067; 9.01494; 8.03219; 7.06685; 6.13342; 5.25503; 4.46536; 3.80806; 3.33187; 3.08057; 3.08057; 
14(0.56); 26.8227; 26.8227; 26.5808; 26.1204; 25.4811; 24.7081; 23.843; 22.9191; 21.9599; 20.9808; 19.9911; 18.996; 17.9983; 16.9993; 15.9997; 15; 14.0003; 13.0007; 12.0017; 11.004; 10.0089; 9.01919; 8.04013; 7.08094; 6.15697; 5.29187; 4.51886; 3.87962; 3.41925; 3.17733; 3.17733; 
15(0.6); 26.7293; 26.7293; 26.4958; 26.0498; 25.4273; 24.6702; 23.8181; 22.9037; 21.9509; 20.9759; 19.9885; 18.9947; 17.9976; 16.999; 15.9996; 15; 14.0004; 13.001; 12.0024; 11.0053; 10.0115; 9.02411; 8.04905; 7.09629; 6.1819; 5.32984; 4.57272; 3.95022; 3.50424; 3.27074; 3.27074; 
16(0.64); 26.6389; 26.6389; 26.413; 25.9802; 25.3732; 24.6312; 23.7919; 22.8872; 21.9411; 20.9703; 19.9855; 18.9932; 17.9969; 16.9986; 15.9995; 15; 14.0005; 13.0014; 12.0031; 11.0068; 10.0145; 9.02971; 8.05893; 7.11283; 6.20808; 5.36876; 4.62676; 4.01985; 3.58701; 3.3611; 3.3611; 
17(0.68); 26.5513; 26.5513; 26.3323; 25.9115; 25.3191; 24.5915; 23.7646; 22.8695; 21.9303; 20.964; 19.982; 18.9913; 17.9959; 16.9982; 15.9993; 15; 14.0007; 13.0018; 12.0041; 11.0087; 10.018; 9.036; 8.06973; 7.13048; 6.23537; 5.40847; 4.68086; 4.08849; 3.66772; 3.4487; 3.4487; 
18(0.72); 26.4662; 26.4662; 26.2535; 25.8439; 25.2651; 24.5512; 23.7363; 22.8508; 21.9186; 20.957; 19.978; 18.9891; 17.9948; 16.9976; 15.9991; 15; 14.0009; 13.0024; 12.0052; 11.0109; 10.022; 9.04298; 8.08144; 7.14918; 6.26365; 5.44883; 4.73491; 4.15614; 3.74649; 3.53379; 3.53379; 
19(0.76); 26.3834; 26.3834; 26.1765; 25.7772; 25.2112; 24.5103; 23.7072; 22.8312; 21.906; 20.9494; 19.9736; 18.9866; 17.9935; 16.997; 15.9988; 15; 14.0012; 13.003; 12.0065; 11.0134; 10.0264; 9.05064; 8.09402; 7.16884; 6.29282; 5.48972; 4.78885; 4.22281; 3.82347; 3.61655; 3.61655; 
20(0.8); 26.3028; 26.3028; 26.1013; 25.7115; 25.1574; 24.469; 23.6772; 22.8106; 21.8926; 20.941; 19.9686; 18.9838; 17.9919; 16.9962; 15.9985; 15; 14.0015; 13.0038; 12.0081; 11.0162; 10.0314; 9.05898; 8.10743; 7.1894; 6.32278; 5.53104; 4.8426; 4.28853; 3.89875; 3.69718; 3.69718; 
21(0.84); 26.2242; 26.2242; 26.0276; 25.6467; 25.1039; 24.4273; 23.6466; 22.7892; 21.8784; 20.932; 19.9631; 18.9806; 17.9902; 16.9953; 15.9981; 15; 14.0019; 13.0047; 12.0098; 11.0194; 10.0369; 9.06799; 8.12163; 7.21079; 6.35343; 5.5727; 4.89611; 4.35331; 3.97245; 3.77583; 3.77583; 
22(0.88); 26.1474; 26.1474; 25.9554; 25.5828; 25.0507; 24.3854; 23.6153; 22.7671; 21.8634; 20.9224; 19.9572; 18.9771; 17.9882; 16.9942; 15.9977; 15; 14.0023; 13.0058; 12.0118; 11.0229; 10.0428; 9.07764; 8.13659; 7.23295; 6.3847; 5.61462; 4.94935; 4.41717; 4.04465; 3.85263; 3.85263; 
23(0.92); 26.0723; 26.0723; 25.8846; 25.5199; 24.9977; 24.3433; 23.5835; 22.7442; 21.8477; 20.9121; 19.9507; 18.9732; 17.9859; 16.993; 15.9972; 15; 14.0028; 13.007; 12.0141; 11.0268; 10.0493; 9.08792; 8.15227; 7.25581; 6.41651; 5.65674; 5.00228; 4.48014; 4.11544; 3.92772; 3.92772; 
24(0.96); 25.9988; 25.9988; 25.8151; 25.4577; 24.9451; 24.301; 23.5512; 22.7207; 21.8314; 20.9012; 19.9438; 18.9689; 17.9834; 16.9917; 15.9966; 15; 14.0034; 13.0083; 12.0166; 11.0311; 10.0562; 9.09882; 8.16863; 7.27932; 6.4488; 5.69901; 5.05488; 4.54225; 4.1849; 4.0012; 4.0012; 
25(1); 25.9268; 25.9268; 25.7469; 25.3965; 24.8929; 24.2586; 23.5185; 22.6966; 21.8144; 20.8897; 19.9363; 18.9643; 17.9807; 16.9902; 15.9959; 15; 14.0041; 13.0098; 12.0193; 11.0357; 10.0637; 9.1103; 8.18562; 7.30343; 6.48151; 5.74137; 5.10713; 4.60353; 4.2531; 4.07317; 4.07317; 
26(1.04); 25.8563; 25.8563; 25.6799; 25.336; 24.841; 24.2162; 23.4854; 22.6719; 21.7968; 20.8776; 19.9284; 18.9593; 17.9777; 16.9885; 15.9952; 15; 14.0048; 13.0115; 12.0223; 11.0407; 10.0716; 9.12236; 8.20322; 7.32809; 6.51459; 5.78379; 5.15902; 4.66399; 4.3201; 4.14372; 4.14372; 
27(1.08); 25.7871; 25.7871; 25.614; 25.2763; 24.7895; 24.1738; 23.452; 22.6468; 21.7786; 20.865; 19.92; 18.9539; 17.9744; 16.9867; 15.9944; 15; 14.0056; 13.0133; 12.0256; 11.0461; 10.08; 9.13496; 8.22139; 7.35324; 6.54799; 5.82622; 5.21054; 4.72366; 4.38597; 4.21294; 4.21294; 
